Date,Time,Biomass,Dissolved_oxygen,pH,T_reactor,T_cooling_liquid,T_peltier,T_mosfet,Power,PWM_feed,PWM_heater
22-11-2023_18-06-09,0,0.11,0.867,2.687,49.7,28.112,25.529,77.045,93.012,0.0,255.0
22-11-2023_18-06-14,4,0.11,0.866,2.687,49.739,28.146,25.515,77.903,92.982,0.0,255.0
22-11-2023_18-06-19,9,0.109,0.862,2.687,49.708,28.165,25.531,78.495,92.938,0.0,255.0
22-11-2023_18-06-24,14,0.11,0.862,2.686,49.729,28.211,25.507,79.019,92.888,0.0,255.0
22-11-2023_18-06-29,19,0.11,0.863,2.685,49.692,28.273,25.53,79.629,92.845,0.0,255.0
22-11-2023_18-06-34,24,0.109,0.862,2.686,49.689,28.277,25.509,80.241,92.782,0.0,255.0
22-11-2023_18-06-39,29,0.11,0.862,2.687,49.705,28.334,25.548,80.773,92.749,0.0,255.0
22-11-2023_18-06-44,34,0.11,0.863,2.688,49.657,28.357,25.563,81.389,92.674,0.0,255.0
22-11-2023_18-06-49,40,0.109,0.862,2.688,49.774,28.391,25.556,81.945,92.682,0.0,255.0
22-11-2023_18-06-54,45,0.11,0.863,2.687,49.879,28.431,25.568,82.47,92.663,0.0,255.0
22-11-2023_18-06-59,50,0.109,0.864,2.687,49.921,28.484,25.549,82.853,92.617,0.0,255.0
22-11-2023_18-07-04,55,0.109,0.866,2.687,49.891,28.467,25.56,83.174,92.595,0.0,255.0
22-11-2023_18-07-09,60,0.11,0.864,2.686,49.918,28.461,25.572,83.512,92.561,0.0,255.0
22-11-2023_18-07-14,65,0.109,0.866,2.684,49.995,28.494,25.582,83.801,92.548,0.0,255.0
22-11-2023_18-07-19,70,0.11,0.866,2.685,49.965,28.496,25.576,84.144,88.352,0.0,240.5
22-11-2023_18-07-24,75,0.11,0.867,2.686,50.041,28.475,25.581,84.471,73.054,0.0,203.38
22-11-2023_18-07-29,80,0.11,0.867,2.685,50.068,28.462,25.583,84.891,59.271,0.0,153.77
22-11-2023_18-07-34,85,0.11,0.863,2.684,50.114,28.476,25.6,85.0,18.435,0.0,47.13
22-11-2023_18-07-39,90,0.11,0.865,2.685,50.177,28.468,25.627,85.015,1.761,0.0,0.0
22-11-2023_18-07-44,95,0.11,0.868,2.683,50.17,28.432,25.78,84.21,1.72,0.0,0.0
22-11-2023_18-07-49,100,0.11,0.869,2.684,50.123,28.384,25.865,82.933,1.702,0.0,0.0
22-11-2023_18-07-54,105,0.11,0.869,2.685,50.318,28.336,25.931,81.315,1.715,0.0,0.0
22-11-2023_18-07-59,110,0.11,0.869,2.683,50.235,28.25,26.025,79.461,1.723,0.0,0.0
22-11-2023_18-08-04,115,0.11,0.872,2.682,50.279,28.16,26.037,77.593,1.78,0.0,0.0
22-11-2023_18-08-09,120,0.11,0.872,2.682,50.283,28.067,26.089,75.907,1.736,0.0,0.0
22-11-2023_18-08-14,125,0.11,0.872,2.681,50.349,28.014,26.127,74.458,1.714,0.0,0.0
22-11-2023_18-08-19,130,0.11,0.871,2.682,50.303,27.944,26.141,73.013,1.721,0.0,0.0
22-11-2023_18-08-24,135,0.11,0.872,2.684,50.372,27.88,26.158,71.638,1.752,0.0,0.0
22-11-2023_18-08-29,140,0.11,0.866,2.684,50.385,27.85,26.201,70.224,1.689,0.0,0.0
22-11-2023_18-08-34,145,0.11,0.868,2.684,50.369,27.803,26.171,68.721,1.717,0.0,0.0
22-11-2023_18-08-39,150,0.11,0.871,2.684,50.325,27.792,26.171,67.479,1.723,0.0,0.0
22-11-2023_18-08-44,155,0.11,0.872,2.681,50.409,27.756,26.134,66.285,1.736,0.0,0.0
22-11-2023_18-08-49,160,0.11,0.866,2.683,50.337,27.742,26.148,65.017,1.722,0.0,0.0
22-11-2023_18-08-54,165,0.11,0.867,2.681,50.437,27.722,26.133,63.974,1.758,0.0,0.0
22-11-2023_18-08-59,170,0.11,0.868,2.68,50.39,27.674,26.139,62.728,1.711,0.0,0.0
22-11-2023_18-09-04,175,0.11,0.87,2.683,50.394,27.602,26.158,61.206,1.691,0.0,0.0
22-11-2023_18-09-09,180,0.11,0.871,2.682,50.513,27.545,26.166,59.94,1.696,0.0,0.0
22-11-2023_18-09-14,185,0.11,0.871,2.683,50.405,27.439,26.175,58.8,1.698,0.0,0.0
22-11-2023_18-09-19,190,0.11,0.87,2.684,50.495,27.344,26.149,57.823,1.691,0.0,0.0
22-11-2023_18-09-24,195,0.11,0.873,2.681,50.498,27.3,26.159,56.986,1.668,0.0,0.0
22-11-2023_18-09-29,200,0.11,0.876,2.683,50.445,27.263,26.144,56.101,1.634,0.0,0.0
22-11-2023_18-09-34,205,0.11,0.869,2.683,50.409,27.248,26.125,55.22,1.712,0.0,0.0
22-11-2023_18-09-40,210,0.11,0.867,2.682,50.392,27.246,26.081,54.307,1.677,0.0,0.0
22-11-2023_18-09-45,215,0.11,0.869,2.683,50.411,27.244,26.053,53.298,1.708,0.0,0.0
22-11-2023_18-09-50,220,0.11,0.869,2.683,50.357,27.202,26.064,52.295,1.664,0.0,0.0
22-11-2023_18-09-55,225,0.11,0.868,2.683,50.363,27.156,26.088,51.373,1.63,0.0,0.0
22-11-2023_18-10-00,230,0.11,0.868,2.681,50.358,27.095,26.052,50.578,1.689,0.0,0.0
22-11-2023_18-10-05,235,0.11,0.866,2.683,50.285,27.075,26.017,49.869,1.64,0.0,0.0
22-11-2023_18-10-10,240,0.11,0.866,2.682,50.263,27.088,25.994,49.197,1.65,0.0,0.0
22-11-2023_18-10-15,245,0.11,0.867,2.682,50.258,27.094,25.978,48.436,1.614,0.0,0.0
22-11-2023_18-10-20,250,0.11,0.872,2.681,50.263,27.052,25.959,47.729,1.628,0.0,0.0
22-11-2023_18-10-25,255,0.11,0.875,2.681,50.226,27.069,25.964,47.223,1.63,0.0,0.0
22-11-2023_18-10-30,260,0.11,0.872,2.681,50.286,27.052,25.938,46.726,1.628,0.0,0.0
22-11-2023_18-10-35,265,0.11,0.868,2.683,50.216,27.049,25.945,46.137,1.635,0.0,0.0
22-11-2023_18-10-40,270,0.11,0.868,2.681,50.2,27.022,25.932,45.475,1.594,0.0,0.0
22-11-2023_18-10-45,275,0.11,0.868,2.681,50.138,26.995,25.934,44.809,1.638,0.0,0.0
22-11-2023_18-10-50,280,0.11,0.867,2.678,50.167,26.969,25.934,44.244,1.626,0.0,0.0
22-11-2023_18-10-55,285,0.11,0.868,2.682,50.192,26.966,25.929,43.813,1.624,0.0,0.0
22-11-2023_18-11-00,290,0.11,0.867,2.68,50.176,26.918,25.917,43.336,1.616,0.0,0.0
22-11-2023_18-11-05,295,0.11,0.867,2.683,50.209,26.92,25.942,42.842,1.616,0.0,0.0
22-11-2023_18-11-10,300,0.11,0.869,2.685,50.165,26.88,25.952,42.363,1.605,0.0,0.0
22-11-2023_18-11-15,305,0.11,0.872,2.682,50.025,26.885,25.919,41.892,1.616,0.0,0.0
22-11-2023_18-11-20,310,0.11,0.864,2.682,50.139,26.877,25.908,41.479,1.611,0.0,0.0
22-11-2023_18-11-25,315,0.11,0.861,2.684,50.157,26.853,25.909,41.004,1.597,0.0,0.0
22-11-2023_18-11-30,320,0.11,0.865,2.68,50.117,26.86,25.909,40.498,1.611,0.0,0.0
22-11-2023_18-11-35,325,0.11,0.867,2.683,50.135,26.865,25.897,40.094,1.585,0.0,0.0
22-11-2023_18-11-40,330,0.11,0.863,2.684,50.128,26.915,25.895,39.767,1.585,0.0,0.0
22-11-2023_18-11-45,335,0.11,0.862,2.685,50.06,26.941,25.859,39.44,1.574,0.0,0.0
22-11-2023_18-11-50,340,0.11,0.861,2.684,50.043,26.944,25.843,39.081,1.588,0.0,0.0
22-11-2023_18-11-55,345,0.11,0.858,2.683,50.044,26.96,25.85,38.736,1.575,0.0,0.0
22-11-2023_18-12-00,350,0.11,0.857,2.684,49.999,26.934,25.825,38.465,1.616,0.0,0.13
22-11-2023_18-12-05,355,0.11,0.855,2.684,50.048,26.927,25.835,38.166,2.028,0.0,0.0
22-11-2023_18-12-10,360,0.11,0.855,2.683,50.04,26.906,25.857,37.863,3.285,0.0,0.0
22-11-2023_18-12-15,365,0.11,0.853,2.685,50.061,26.9,25.888,37.597,1.574,0.0,0.0
22-11-2023_18-12-20,370,0.11,0.854,2.683,49.968,26.871,25.877,37.315,1.578,0.0,2.0
22-11-2023_18-12-25,375,0.11,0.859,2.685,49.968,26.896,25.907,37.089,1.599,0.0,1.97
22-11-2023_18-12-30,381,0.11,0.861,2.685,49.983,26.936,25.914,36.927,3.191,0.0,0.97
22-11-2023_18-12-35,386,0.11,0.859,2.684,49.924,26.936,25.912,36.743,2.352,0.0,4.8
22-11-2023_18-12-40,391,0.11,0.858,2.685,49.894,26.984,25.902,36.533,5.068,0.0,7.05
22-11-2023_18-12-45,396,0.11,0.859,2.686,49.934,27.002,25.885,36.231,5.372,0.0,4.89
22-11-2023_18-12-50,401,0.11,0.855,2.684,49.886,26.997,25.897,35.888,3.068,0.0,8.63
22-11-2023_18-12-55,406,0.11,0.854,2.686,49.855,27.027,25.9,35.606,5.713,0.0,11.41
22-11-2023_18-13-00,411,0.11,0.854,2.686,49.88,27.053,25.902,35.334,3.99,0.0,10.82
22-11-2023_18-13-05,416,0.11,0.854,2.687,49.883,27.062,25.874,35.06,9.154,0.0,11.74
22-11-2023_18-13-10,421,0.11,0.853,2.683,49.8,27.07,25.873,34.845,9.293,0.0,18.39
22-11-2023_18-13-15,426,0.11,0.852,2.683,49.734,27.062,25.86,34.658,11.244,0.0,24.01
22-11-2023_18-13-20,431,0.11,0.852,2.685,49.654,27.033,25.838,34.472,12.55,0.0,30.99
22-11-2023_18-13-25,436,0.11,0.852,2.684,49.67,27.028,25.786,34.352,15.902,0.0,32.3
22-11-2023_18-13-30,441,0.11,0.851,2.687,49.635,27.031,25.775,34.249,18.77,0.0,36.88
22-11-2023_18-13-35,446,0.11,0.845,2.686,49.706,26.97,25.757,34.213,17.804,0.0,35.09
22-11-2023_18-13-40,451,0.11,0.839,2.688,49.653,26.947,25.764,34.193,17.212,0.0,40.82
22-11-2023_18-13-45,456,0.11,0.835,2.685,49.721,26.928,25.77,34.191,17.979,0.0,39.2
22-11-2023_18-13-50,461,0.11,0.838,2.685,49.605,26.955,25.773,34.267,20.342,0.0,48.75
22-11-2023_18-13-55,466,0.11,0.836,2.686,49.673,26.909,25.807,34.336,19.982,0.0,47.35
22-11-2023_18-14-00,471,0.11,0.838,2.683,49.664,26.829,25.776,34.426,22.588,0.0,50.73
22-11-2023_18-14-05,476,0.11,0.84,2.686,49.604,26.804,25.748,34.508,25.468,0.0,57.32
22-11-2023_18-14-10,481,0.11,0.842,2.686,49.622,26.837,25.751,34.622,26.608,0.0,59.3
22-11-2023_18-14-15,486,0.11,0.842,2.686,49.611,26.875,25.763,34.808,29.543,0.0,63.21
22-11-2023_18-14-20,491,0.11,0.838,2.688,49.527,26.894,25.771,35.014,28.513,0.0,71.71
22-11-2023_18-14-25,496,0.11,0.831,2.687,49.465,26.901,25.735,35.167,31.959,0.0,78.99
22-11-2023_18-14-30,501,0.11,0.825,2.687,49.445,26.888,25.732,35.293,33.566,0.0,84.02
22-11-2023_18-14-35,506,0.11,0.822,2.688,49.383,26.898,25.73,35.389,37.341,0.0,91.72
22-11-2023_18-14-40,511,0.11,0.825,2.687,49.478,26.863,25.685,35.47,39.207,0.0,90.16
22-11-2023_18-14-45,516,0.11,0.834,2.688,49.448,26.806,25.645,35.593,39.525,0.0,96.52
22-11-2023_18-14-50,521,0.11,0.829,2.687,49.411,26.791,25.633,35.743,44.627,0.0,103.16
22-11-2023_18-14-55,526,0.11,0.822,2.687,49.438,26.735,25.652,35.918,42.864,0.0,106.04
22-11-2023_18-15-00,531,0.11,0.816,2.687,49.426,26.726,25.666,36.163,44.339,0.0,111.22
22-11-2023_18-15-05,536,0.11,0.817,2.688,49.402,26.72,25.667,36.543,46.078,0.0,117.11
22-11-2023_18-15-11,541,0.11,0.819,2.687,49.496,26.693,25.624,36.948,49.337,0.0,115.77
22-11-2023_18-15-16,546,0.11,0.821,2.689,49.44,26.703,25.64,37.35,51.452,0.0,123.82
22-11-2023_18-15-21,551,0.11,0.822,2.687,49.458,26.695,25.631,37.675,53.711,0.0,127.31
22-11-2023_18-15-26,556,0.11,0.814,2.687,49.468,26.677,25.627,37.996,53.0,0.0,131.16
22-11-2023_18-15-31,561,0.11,0.813,2.688,49.45,26.646,25.624,38.454,58.043,0.0,136.66
22-11-2023_18-15-36,566,0.11,0.813,2.69,49.428,26.613,25.624,38.931,56.242,0.0,142.53
22-11-2023_18-15-41,571,0.11,0.814,2.689,49.387,26.616,25.643,39.428,57.093,0.0,149.41
22-11-2023_18-15-46,576,0.11,0.805,2.688,49.432,26.593,25.677,40.126,59.976,0.0,150.98
22-11-2023_18-15-51,581,0.11,0.804,2.687,49.461,26.583,25.576,40.711,63.859,0.0,153.47
22-11-2023_18-15-56,586,0.11,0.808,2.688,49.446,26.572,25.548,41.262,64.398,0.0,158.75
22-11-2023_18-16-01,591,0.11,0.811,2.692,49.424,26.603,25.546,41.851,65.069,0.0,164.45
22-11-2023_18-16-06,596,0.11,0.813,2.69,49.414,26.597,25.544,42.332,65.719,0.0,169.41
22-11-2023_18-16-11,601,0.11,0.813,2.689,49.357,26.582,25.565,42.821,67.536,0.0,177.18
22-11-2023_18-16-16,606,0.11,0.818,2.688,49.415,26.553,25.552,43.476,70.857,0.0,178.03
22-11-2023_18-16-21,611,0.11,0.821,2.688,49.438,26.506,25.589,43.951,73.852,0.0,181.01
22-11-2023_18-16-26,616,0.11,0.819,2.689,49.342,26.401,25.584,44.003,73.03,0.0,191.48
22-11-2023_18-16-31,621,0.11,0.811,2.689,49.378,26.323,25.591,44.101,73.139,0.0,193.73
22-11-2023_18-16-36,626,0.11,0.811,2.69,49.329,26.278,25.586,44.484,76.931,0.0,201.07
22-11-2023_18-16-41,631,0.11,0.813,2.689,49.402,26.226,25.578,45.141,78.303,0.0,200.92
22-11-2023_18-16-46,636,0.11,0.814,2.689,49.423,26.198,25.552,45.938,79.513,0.0,204.04
22-11-2023_18-16-51,641,0.11,0.815,2.69,49.364,26.189,25.507,46.596,81.178,0.0,212.08
22-11-2023_18-16-56,646,0.109,0.813,2.689,49.361,26.211,25.458,47.334,84.222,0.0,216.93
22-11-2023_18-17-01,651,0.109,0.813,2.688,49.37,26.223,25.472,48.085,85.904,0.0,221.2
22-11-2023_18-17-06,656,0.109,0.813,2.689,49.29,26.192,25.488,48.753,87.401,0.0,230.98
22-11-2023_18-17-11,661,0.109,0.811,2.69,49.322,26.189,25.554,49.558,91.229,0.0,234.12
22-11-2023_18-17-16,666,0.109,0.811,2.688,49.313,26.211,25.535,50.411,91.947,0.0,240.1
22-11-2023_18-17-21,671,0.109,0.813,2.688,49.243,26.203,25.565,51.337,92.855,0.0,249.74
